Speed1,E1,N1,Speed2,Alt2,E2,N2,U2,IVS1
0.1718244376889674,21527.405913635903,67543.58216694168,0.0150000009365199,312.1720000001428,21530.105172449432,67556.36867121876,-230.5983428594999,7.46830860403754
0.2104077715992884,21527.40604186516,67543.5451203048,0.021999999978787,312.1699999998482,21530.105165709432,67556.3686500025,-230.6003427360395,7.5045100417640755
0.2793433224357315,21527.40610598164,67543.52659698774,0.0120000003304155,312.17399999967694,21530.112957934467,67556.36871908192,-230.5963694798856,7.524296071652351
0.3657699886148144,21527.393270246288,67543.4895059522,0.0269999967281089,312.1739999998701,21530.11295793633,67556.36871908196,-230.59636947969895,7.563237898531012
0.4588844302074342,21527.393462590582,67543.43393600034,0.0430000005429961,312.17699999966135,21530.105189297512,67556.36872426093,-230.5933431696953,7.615983091676752
0.5808077613820861,21527.3806909716,67543.37832164232,0.0309999995234051,312.1789999995139,21530.11297478268,67556.36877212394,-230.59136978977628,7.6746818620928385
0.7037599832493694,21527.36798346573,67543.30418396983,0.0489999989962052,312.1839999995228,21530.11299163189,67556.36882516481,-230.58637009883083,7.7499033474386945
0.8503766437769805,21527.35527595929,67543.23004629758,0.048999997396369,312.1850000000284,21530.11299500137,67556.36883577495,-230.5853701618535,7.8250811262197635
1.0319755345940993,21527.342696683136,67543.1188619915,0.0839999976319127,312.18599999957445,21530.11303684507,67556.35773184527,-230.5842524392756,7.925622337543201
1.1893955287642917,21527.317153441105,67543.00763327909,0.070000003800425,312.1919999989135,21530.11301858809,67556.36891003049,-230.5783705957841,8.050662194472263
1.427583305529998,21527.291738425854,67542.85935793306,0.0430000033327398,312.19500000122486,21530.12080744416,67556.36896850415,-230.57539727492545,8.20265225573154
1.5988933099092493,21527.266323409505,67542.71108258514,0.0210000022021564,312.183999999346,21530.12077037852,67556.36885181136,-230.58639659515896,8.35286808278634
1.8108444148418423,21527.241036621595,67542.52576060682,0.019999996940623,312.20099999902544,21530.120827663413,67556.36903215351,-230.5693976483936,8.539638027897832
2.0433732998647,21527.20284997961,67542.3218709023,0.0469999997949591,312.1940000006116,21530.11302532792,67556.36893124995,-230.57637071719952,8.745348548160429
2.2800177561990345,21527.16472744764,67542.09945788272,0.0280000007274905,312.19500000089545,21530.12084591844,67556.35785396678,-230.57527949068825,8.961610326582877
2.441553296062932,21527.12666902717,67541.85852154765,0.0679999889998974,312.1839999997512,21530.113030105866,67556.35771062928,-230.5862523153416,9.203541350542968
2.7975488554196284,21527.088738832823,67541.58053857676,0.1449999970727686,312.1989999985197,21530.12089787028,67556.34678186671,-230.5711619572984,9.47434672967572
2.940564418752883,21527.03790877893,67541.28398788231,0.1399999942881439,312.20099999945813,21530.120943084494,67556.33568854803,-230.5690442935768,9.764204940693856
3.245629959419748,21526.987142833685,67540.96891387345,0.2409999879121422,312.20999999930814,21530.121088832417,67556.30244041857,-230.5596914998809,10.050516088384237
3.4915344150178367,21526.92354113984,67540.61674882643,0.2710000023707288,312.20999999975794,21530.121165780965,67556.28021134617,-230.5594559302561,10.386521242991243
3.7436121839812495,21526.860003549977,67540.24606046105,0.291999982458514,312.2159999992913,21530.113522673983,67556.24690474644,-230.55307645346733,10.728270102355983
4.024498860946076,21526.79653006696,67539.85684877863,0.4919999804789276,312.2170000003117,21530.105901191968,67556.20243056944,-230.5515788802089,11.077229425870351
4.213814408872667,21526.72022082821,67539.43054606019,0.5469999948877086,312.21499999985764,21530.098308074867,67556.14681003135,-230.5529633418585,11.45417704257564
4.568266622196525,21526.64397568992,67538.98572002385,0.6269999866751477,312.2179999998639,21530.09077028041,67556.08012799747,-230.54923032621804,11.838439635405686
4.827546637776884,21526.56785876481,67538.50384735539,0.7589999747057231,312.21500000068755,21530.07543352021,67556.01335567009,-230.5514704450836,12.257378365464447
5.04721441535342,21526.491805942347,67538.00345136753,0.976999976272584,312.208000001336,21530.06019870308,67555.91319730609,-230.5573569655741,12.661775008972969
5.278199967306104,21526.38988926343,67537.48444325825,1.1069999826665349,312.1970000010831,21530.037210131657,67555.80185532628,-230.5670989588613,13.077005498365018
5.573491063142345,21526.301000654745,67536.9469562376,1.2779999741180894,312.195999999077,21530.022110952355,67555.66841700378,-230.56663250695755,13.487685953681236
5.914567750945772,21526.19934038776,67536.35385486284,1.4699999775503858,312.2030000002433,21529.991519706844,67555.52389572095,-230.5579957756907,13.941522215264044
6.043693302860497,21526.084716118334,67535.76070908637,1.61699998177535,312.1959999999512,21529.968736979463,67555.35702349557,-230.5631491112485,14.377516273894
6.387342184159732,21525.97022004608,67535.13051667916,1.774999974819651,312.2029999999522,21529.93822267792,67555.19027314188,-230.55427682357137,14.848444298530614
6.578201082658169,21525.85578806139,67534.48180095272,1.9759999769741268,312.19600000024064,21529.91555536832,67554.99005731313,-230.55907682043537,15.306226094889196
