epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.44661983847618103,9.999999747378752e-06,1.3420387506484985,0.5267793536186218,1.3429707288742065
1,0.4944061040878296,9.999999747378752e-06,1.2843866348266602,0.5503451824188232,1.229151964187622
2,0.5160080790519714,9.999999747378752e-06,1.251238226890564,0.5541538000106812,1.1960960626602173
3,0.5397524237632751,9.999999747378752e-06,1.2215099334716797,0.5577243566513062,1.1796568632125854
4,0.5536776781082153,9.999999747378752e-06,1.1977177858352661,0.5543918013572693,1.1793670654296875
5,0.5584384799003601,9.999999747378752e-06,1.1937980651855469,0.562247097492218,1.1731317043304443
6,0.5760533213615417,9.999999747378752e-06,1.1707088947296143,0.561771035194397,1.1727030277252197
7,0.5826588869094849,9.999999747378752e-06,1.1571686267852783,0.5648655295372009,1.1683205366134644
8,0.5915853381156921,9.999999747378752e-06,1.1474744081497192,0.5631992220878601,1.1637557744979858
9,0.6017614603042603,9.999999747378752e-06,1.135979175567627,0.5765293836593628,1.1490657329559326
10,0.6129493117332458,9.999999747378752e-06,1.1222078800201416,0.5774815678596497,1.1508859395980835
11,0.6186622381210327,9.999999747378752e-06,1.1119271516799927,0.5848607420921326,1.1307133436203003
12,0.619554877281189,9.999999747378752e-06,1.1095035076141357,0.5922399163246155,1.1236768960952759
13,0.6297309994697571,9.999999747378752e-06,1.0904122591018677,0.5827183723449707,1.1355812549591064
14,0.631159245967865,9.999999747378752e-06,1.0901668071746826,0.5960485339164734,1.1149581670761108
15,0.6387764811515808,9.999999747378752e-06,1.0799833536148071,0.6027136445045471,1.1055715084075928
16,0.6388359665870667,9.999999747378752e-06,1.075949788093567,0.6034277677536011,1.1057378053665161
17,0.6459771394729614,9.999999747378752e-06,1.0692542791366577,0.610806941986084,1.0954773426055908
18,0.6464532017707825,9.999999747378752e-06,1.0647584199905396,0.6127112507820129,1.0921369791030884
19,0.6484765410423279,9.999999747378752e-06,1.063439130783081,0.6165198683738708,1.088080644607544
20,0.6572244763374329,9.999999747378752e-06,1.050040602684021,0.6203284859657288,1.0805898904800415
21,0.6643656492233276,9.999999747378752e-06,1.0434396266937256,0.6217567324638367,1.0730082988739014
22,0.6632349491119385,9.999999747378752e-06,1.0395455360412598,0.6258033514022827,1.0748250484466553
23,0.6626993417739868,9.999999747378752e-06,1.0404046773910522,0.6346108317375183,1.0633819103240967
24,0.669959545135498,9.999999747378752e-06,1.0360671281814575,0.6367531418800354,1.0598591566085815
25,0.6642466187477112,9.999999747378752e-06,1.036178708076477,0.6424660682678223,1.054411768913269
26,0.6796001195907593,9.999999747378752e-06,1.018560528755188,0.6410378217697144,1.0576382875442505
27,0.6734110713005066,9.999999747378752e-06,1.02155601978302,0.6405617594718933,1.0557349920272827
28,0.6813853979110718,9.999999747378752e-06,1.0151902437210083,0.6415139436721802,1.05246901512146
29,0.6828136444091797,9.999999747378752e-06,1.005279779434204,0.6393715739250183,1.0614967346191406
30,0.6840633153915405,9.999999747378752e-06,1.006009578704834,0.6417519450187683,1.0499950647354126
31,0.6916210651397705,9.999999747378752e-06,1.0004912614822388,0.6427041292190552,1.0459762811660767
32,0.6868007779121399,9.999999747378752e-06,1.0010312795639038,0.6429421305656433,1.0421977043151855
33,0.6913830041885376,9.999999747378752e-06,0.9955435395240784,0.6453225612640381,1.0445033311843872
34,0.695072591304779,9.999999747378752e-06,0.9905592203140259,0.6462746858596802,1.0389599800109863
35,0.6984051465988159,9.999999747378752e-06,0.98135906457901,0.6431801915168762,1.0487383604049683
36,0.7014996409416199,9.999999747378752e-06,0.9781830906867981,0.6386574506759644,1.049275279045105
37,0.6982266306877136,9.999999747378752e-06,0.976386308670044,0.6393715739250183,1.049697756767273
38,0.7035229802131653,4.999999873689376e-06,0.9717673063278198,0.6434182524681091,1.0434874296188354
39,0.702154278755188,4.999999873689376e-06,0.9740266799926758,0.6403237581253052,1.0447869300842285
40,0.7087598443031311,4.999999873689376e-06,0.9690718650817871,0.6405617594718933,1.0473474264144897
